Solution,User,Slot,POI,Transport
Solution_1,User_1,start,ホテルオークラ京都岡崎別邸,stay
Solution_1,User_1,slot1,move,Walking
Solution_1,User_1,slot2,平安神宮,stay
Solution_1,User_1,slot3,move,Walking
Solution_1,User_1,slot4,岡崎公園,stay
Solution_1,User_1,slot5,move,Walking
Solution_1,User_1,slot6,京都市動物園,stay
Solution_1,User_1,slot7,move,City Bus
Solution_1,User_1,slot8,南禅寺,stay
Solution_1,User_1,slot9,move,Walking
Solution_1,User_1,slot10,蹴上インクライン,stay
Solution_1,User_1,slot11,move,Walking
Solution_1,User_1,slot12,京都国立近代美術館,stay
Solution_1,User_1,slot13,move,Walking
Solution_1,User_1,return,ホテルオークラ京都岡崎別邸,stay
Solution_1,User_2,start,ホテルオークラ京都岡崎別邸,stay
Solution_1,User_2,slot1,move,Walking
Solution_1,User_2,slot2,平安神宮,stay
Solution_1,User_2,slot3,move,Walking
Solution_1,User_2,slot4,岡崎公園,stay
Solution_1,User_2,slot5,move,Walking
Solution_1,User_2,slot6,京都市動物園,stay
Solution_1,User_2,slot7,move,City Bus
Solution_1,User_2,slot8,南禅寺,stay
Solution_1,User_2,slot9,move,Walking
Solution_1,User_2,slot10,蹴上インクライン,stay
Solution_1,User_2,slot11,move,Walking
Solution_1,User_2,slot12,京都国立近代美術館,stay
Solution_1,User_2,slot13,move,Walking
Solution_1,User_2,return,ホテルオークラ京都岡崎別邸,stay
Solution_1,User_3,start,ホテルオークラ京都岡崎別邸,stay
Solution_1,User_3,slot1,move,Walking
Solution_1,User_3,slot2,平安神宮,stay
Solution_1,User_3,slot3,move,Walking
Solution_1,User_3,slot4,岡崎公園,stay
Solution_1,User_3,slot5,move,Walking
Solution_1,User_3,slot6,京都市動物園,stay
Solution_1,User_3,slot7,move,City Bus
Solution_1,User_3,slot8,南禅寺,stay
Solution_1,User_3,slot9,move,Walking
Solution_1,User_3,slot10,蹴上インクライン,stay
Solution_1,User_3,slot11,move,Walking
Solution_1,User_3,slot12,京都国立近代美術館,stay
Solution_1,User_3,slot13,move,Walking
Solution_1,User_3,return,ホテルオークラ京都岡崎別邸,stay
